"Model","Accuracy","Sensitivity","Specificity","Precision","F1","AUC"
"Random Forest",0.894545454545455,0.943708609271523,0.834677419354839,0.874233128834356,0.907643312101911,0.954577013458664
"SVM",0.881818181818182,0.923841059602649,0.830645161290323,0.869158878504673,0.895666131621188,0.944296090578937
