"mtry","splitrule","min.node.size","ROC","Sens","Spec"
1,"gini",5,0.920140225270436,0.910491803278689,0.786448979591837
1,"gini",10,0.919794490911119,0.917213114754098,0.757959183673469
1,"gini",15,0.917255090888815,0.917103825136612,0.770285714285714
1,"gini",20,0.915059663209546,0.910437158469945,0.766204081632653
2,"gini",5,0.921441329318613,0.903934426229508,0.790367346938776
2,"gini",10,0.918598059551689,0.900601092896175,0.790367346938776
2,"gini",15,0.915587933534069,0.897322404371585,0.786204081632653
2,"gini",20,0.911755637336902,0.897377049180328,0.770122448979592
3,"gini",5,0.92000537526486,0.900655737704918,0.790448979591837
3,"gini",10,0.914137816438051,0.897322404371585,0.790448979591837
3,"gini",15,0.913860555369689,0.897322404371585,0.778122448979592
3,"gini",20,0.908713772722204,0.890601092896175,0.778204081632653
4,"gini",5,0.919016081186573,0.893989071038251,0.790367346938776
4,"gini",10,0.916124255603881,0.890655737704918,0.782285714285714
4,"gini",15,0.910888591502175,0.887377049180328,0.790367346938776
4,"gini",20,0.903127846548455,0.860765027322404,0.774367346938776
5,"gini",5,0.916590766142523,0.897267759562842,0.778204081632653
5,"gini",10,0.900735162261626,0.877322404371585,0.774040816326531
5,"gini",15,0.906726396788224,0.877377049180328,0.786367346938776
5,"gini",20,0.906182892829263,0.877431693989071,0.782367346938776
6,"gini",5,0.913447596743616,0.913825136612022,0.798530612244898
6,"gini",10,0.906874227723876,0.887377049180328,0.786122448979592
6,"gini",15,0.908427768484443,0.884098360655738,0.782204081632653
6,"gini",20,0.900112523698004,0.850874316939891,0.770204081632653
7,"gini",5,0.907328381844541,0.884098360655738,0.790448979591837
7,"gini",10,0.902002297312368,0.884043715846995,0.770122448979592
7,"gini",15,0.900281208876993,0.880655737704918,0.778285714285714
7,"gini",20,0.88836181554589,0.834207650273224,0.782204081632653
8,"gini",5,0.902987230957957,0.874098360655738,0.778367346938776
8,"gini",10,0.900459194825471,0.867377049180328,0.786367346938776
8,"gini",15,0.902220140515222,0.870710382513661,0.782285714285714
8,"gini",20,0.890240069142411,0.850710382513661,0.766204081632653
9,"gini",5,0.909820229731237,0.887322404371585,0.766204081632653
9,"gini",10,0.908616259618601,0.904098360655738,0.770204081632653
9,"gini",15,0.875953429240549,0.857540983606557,0.746040816326531
9,"gini",20,0.882990253150441,0.854098360655738,0.766204081632653
10,"gini",5,0.882320731571317,0.887377049180328,0.754122448979592
10,"gini",10,0.865125593844095,0.847377049180328,0.733959183673469
10,"gini",15,0.891601918144307,0.864153005464481,0.774367346938776
10,"gini",20,0.888966990074718,0.870874316939891,0.770122448979592
11,"gini",5,0.889317229842757,0.874043715846994,0.782367346938776
11,"gini",10,0.862890732686517,0.84103825136612,0.758122448979592
11,"gini",15,0.877555302776848,0.860655737704918,0.766285714285714
11,"gini",20,0.87004674919148,0.837431693989071,0.770285714285714
