"C","sigma","ROC","Sens","Spec"
1,0.005,0.921937638006022,0.870710382513661,0.818857142857143
5,0.005,0.927878041708487,0.903879781420765,0.810612244897959
10,0.005,0.928064949258392,0.907213114754098,0.810612244897959
20,0.005,0.925326820564291,0.910491803278689,0.80669387755102
50,0.005,0.918527043604327,0.893825136612022,0.810775510204082
100,0.005,0.915804683840749,0.893825136612022,0.80269387755102
150,0.005,0.913550328984053,0.897158469945355,0.80269387755102
200,0.005,0.91066006468161,0.897213114754098,0.818612244897959
250,0.005,0.909653328872533,0.897213114754098,0.814530612244898
500,0.005,0.898737258837961,0.883934426229508,0.798448979591837
750,0.005,0.887345132151221,0.877267759562842,0.790612244897959
1000,0.005,0.881970692539311,0.870819672131148,0.790530612244898
1,0.006,0.923072041931527,0.877322404371585,0.818857142857143
5,0.006,0.927804839968774,0.903879781420765,0.806612244897959
10,0.006,0.92832262741162,0.907213114754098,0.806612244897959
20,0.006,0.923717609010817,0.910437158469945,0.81069387755102
50,0.006,0.916481141964983,0.903715846994536,0.810775510204082
100,0.006,0.914281454221033,0.903825136612022,0.79869387755102
150,0.006,0.910802676480428,0.900491803278689,0.798530612244898
200,0.006,0.908262629642021,0.893934426229508,0.810530612244898
250,0.006,0.905717943570871,0.880601092896175,0.810612244897959
500,0.006,0.889552425560388,0.877267759562842,0.79069387755102
750,0.006,0.882623709155794,0.874098360655738,0.782530612244898
1000,0.006,0.876149592951935,0.880765027322404,0.766367346938776
1,0.007,0.924717408274786,0.883934426229508,0.818857142857143
5,0.007,0.928407003457121,0.910491803278688,0.810612244897959
10,0.007,0.926798349503736,0.910546448087432,0.80669387755102
20,0.007,0.922113861938218,0.893825136612022,0.80669387755102
50,0.007,0.915681989517118,0.893825136612022,0.806693877551021
100,0.007,0.911533511765362,0.897213114754098,0.806612244897959
150,0.007,0.908466978922717,0.890546448087432,0.802530612244898
200,0.007,0.904991992862719,0.883879781420765,0.80269387755102
250,0.007,0.901079513772722,0.883934426229508,0.790612244897959
500,0.007,0.88481300323408,0.880710382513661,0.786612244897959
750,0.007,0.876482368685179,0.874207650273224,0.782448979591837
1000,0.007,0.872310583249693,0.864371584699454,0.782448979591837
1,0.008,0.925366610906658,0.890546448087432,0.814857142857143
5,0.008,0.929072577227612,0.910546448087432,0.806612244897959
10,0.008,0.925800557600089,0.900546448087432,0.81069387755102
20,0.008,0.91997568863611,0.897158469945355,0.802530612244898
50,0.008,0.915623753763801,0.903825136612022,0.80269387755102
100,0.008,0.910665261514442,0.893934426229508,0.814612244897959
150,0.008,0.905860265417642,0.880710382513661,0.806448979591837
200,0.008,0.899965294970447,0.887213114754098,0.790530612244898
250,0.008,0.894935608341697,0.880655737704918,0.782448979591837
500,0.008,0.880123028883684,0.880765027322404,0.774448979591837
750,0.008,0.873173681275789,0.870874316939891,0.778448979591837
1000,0.008,0.871526954388313,0.874207650273224,0.774285714285714
1,0.009,0.926300457232073,0.893879781420765,0.814857142857143
5,0.009,0.928069878443181,0.910491803278689,0.802612244897959
10,0.009,0.924800334560053,0.897103825136612,0.814775510204082
20,0.009,0.918195070815211,0.893770491803279,0.810775510204082
50,0.009,0.914418601538976,0.903825136612022,0.79469387755102
100,0.009,0.908465886026542,0.887267759562842,0.818775510204082
150,0.009,0.901967413850786,0.887213114754098,0.80669387755102
200,0.009,0.895664837738374,0.883934426229508,0.790693877551021
250,0.009,0.889526262964202,0.883989071038251,0.770530612244898
500,0.009,0.876818155458905,0.877486338797814,0.774448979591837
750,0.009,0.873462406601985,0.870874316939891,0.774285714285714
1000,0.009,0.871925549236088,0.867540983606557,0.774367346938776
1,0.01,0.927366543994647,0.893934426229508,0.814857142857143
5,0.01,0.928199397791903,0.903879781420765,0.80269387755102
10,0.01,0.924199286271886,0.890546448087432,0.810775510204082
20,0.01,0.916277327980372,0.893825136612022,0.81069387755102
50,0.01,0.912951176536188,0.900437158469945,0.806775510204082
100,0.01,0.905276368908219,0.887267759562842,0.786448979591837
150,0.01,0.897846771495483,0.883934426229508,0.794530612244898
200,0.01,0.890865283818445,0.877267759562842,0.782612244897959
250,0.01,0.886483706925393,0.880765027322404,0.774530612244898
